category,total_volume,market_count
KXGRAMAOTY,1474307.0,18
KXRFKCOUNT,1471989.0,13
KXMRBEASTMENTION,1468939.0,159
KXSECSTATE,1466324.0,5
KXLAGODAYS,1462656.0,63
KXRANKLISTGOOGLESEARCHTOP5,1458351.0,42
KXMVENBASINGLEGAME,1449997.0,100567
TIME,1448589.0,23
KXEOCOUNTDAY3,1447919.0,11
KXOSCARNOMACTO,1446077.0,24
KXSUPERLIGGAME,1436425.0,102
KXELECTIONDAYS,1431987.0,15
KXWHVISIT,1417299.0,57
KXFEDEMPLOYEES,1412742.0,5
KXINTERNETINVITATIONAL,1404211.0,48
KXCPICORE,1401908.0,72
KXGENESISINVITATIONAL,1397993.0,27
CABINETTULSI,1390634.0,1
KXSKPRES,1377511.0,9
KXEREDIVISIEGAME,1369760.0,108
KXMANTISFREETHROW,1368790.0,32
KXBALLONDOR,1363998.0,9
KXEFLCUPGAME,1356808.0,24
KXSBSETLISTS,1356558.0,35
TSAW,1352108.0,945
KXNCAAFB10,1342811.0,18
KXLASTSTATECALL24,1342383.0,15
KXRUBIO,1335214.0,10
ETH,1332665.0,3280
KXLEADEROUT,1331399.0,27
SENATEFL,1328780.0,4
KXRTSUPERMAN,1327939.0,12
KXALBUMSALESSWIFT,1325240.0,61
LLM1,1319352.0,8
KXSTATESHIFTRIGHT,1306461.0,5
KXEARNINGSMENTIONTSLA,1303691.0,61
KXPRESLEAVESK,1289399.0,4
KXCANLIBSEATS,1286907.0,10
KXSPOTIFYGLOBALD,1271685.0,4659
SENATEMI,1263097.0,4
KXRTDOGMAN,1258789.0,8
KXTRUMPATTEND,1257249.0,3
KXDJTVOSTARIFFS,1256335.0,1
KXOTEEPSTEIN,1250350.0,35
KXMOSTSTREAMESTSTLOASG,1241951.0,12
KXNFLAFCSOUTH,1236063.0,4
GDP,1234787.0,113
KXTRUMPMEET,1228808.0,63
POPVOTEMOVFL,1217439.0,9
KXMAMDANIMENTION,1212810.0,134
KXMENWORLDCUP,1210407.0,50
KXEXPAND,1203259.0,1
GTA6,1200339.0,13
KXARREST,1186153.0,23
GAMEAWARDS,1182898.0,14
KXMLBALEAST,1173489.0,5
